City,order_count,Revenue,Profit,Profit_Margin_Percentage
"New Rochelle",8,1208.8780000000002,346.62649999999996,28.67
Albuquerque,14,2220.16,634.0880999999999,28.56
Andover,4,435.84999999999997,124.1886,28.49
Wausau,4,317.47999999999996,90.43060000000001,28.48
Florence,21,7621.720000000001,2168.966099999999,28.46
Southaven,7,1455.3899999999999,412.89019999999994,28.37
Rockville,5,469.77000000000004,133.2147,28.36
Sacramento,12,7299.494000000001,2065.7088,28.3
Greenwood,3,1660.64,469.7036,28.28
Manchester,11,2126.2799999999997,600.5054,28.24
Inglewood,14,3272.048,923.4088000000002,28.22
Dubuque,2,1672.06,470.8164,28.16
"Moreno Valley",10,1262.466,353.6301,28.01
Henderson,51,17549.067999999996,4911.8609,27.99
Athens,8,1720.81,479.3221,27.85
Covington,4,413.67999999999995,115.10940000000001,27.83
Visalia,4,318.78000000000003,88.0478,27.62
Vallejo,6,1221.4099999999999,336.0355,27.51
Quincy,19,1274.495,350.3313999999999,27.49
Jonesboro,11,2915.32,801.1113000000001,27.48
Jamestown,2,4708.79,1285.7714999999998,27.31
Plainfield,13,4526.85,1235.6657,27.3
"New Castle",2,84.61,23.0839,27.28
Tulsa,26,5556.97,1506.9349999999995,27.12
"Coon Rapids",2,503.13,136.4532,27.12
Baltimore,42,6112.092,1655.6129999999996,27.09
Lowell,15,4792.09,1296.9861,27.07
Smyrna,23,3084.449,825.1592,26.75
Wilmington,35,7252.961,1926.9749,26.57
Kenosha,9,3906.73,1028.0728,26.32
Fayetteville,40,6901.478000000002,1809.8068,26.22
"Oklahoma City",22,6055.579999999999,1575.3482999999999,26.01
Vacaville,1,423.28,110.0528,26
Waukesha,1,54.5,14.17,26
Yucaipa,1,50.8,13.208,26
Gaithersburg,2,405.91999999999996,105.541,26
"Santa Maria",1,115.44,30.0144,26
Aberdeen,1,25.5,6.63,26
"Eau Claire",6,1645.65,427.4978,25.98
"Sandy Springs",13,1981.79,513.4263,25.91
"Ann Arbor",5,889.273,228.9158,25.74
"Oak Park",3,591.0519999999999,152.0428,25.72
Muskogee,4,1721.7,442.5966,25.71
Lansing,8,1610.2860000000003,412.87340000000006,25.64
Waterbury,11,1326.06,338.93550000000005,25.56
Beverly,3,2583.1900000000005,654.9194,25.35
Edmond,2,959.55,243.10389999999998,25.34
"Hot Springs",4,245.82999999999998,62.083800000000004,25.25
Edmonds,14,2523.6920000000005,634.2478,25.13
Fargo,7,919.91,230.14969999999997,25.02
Texarkana,2,654.24,163.3746,24.97
"Santa Ana",14,3366.31,836.7465000000001,24.86
Lubbock,6,592.5640000000001,147.13869999999997,24.83
Seattle,412,117772.58399999999,28868.995700000003,24.51
Milwaukee,45,11410.220000000001,2793.0851,24.48
Suffolk,10,1597.9,389.8122,24.4
Hempstead,11,2589.586,629.0646,24.29
"New York City",893,255248.969,61624.0582,24.14
Everett,22,5665.7339999999995,1361.4787,24.03
Brentwood,16,5090.113999999999,1216.8104,23.91
"Bossier City",6,1417.18,336.9608,23.78
"Broken Arrow",5,2439.53,575.5226,23.59
Farmington,3,718.72,169.4115,23.57
Burbank,3,3247.1580000000004,764.5337999999999,23.54
Evanston,4,1753.799,411.88379999999995,23.49
Monroe,21,2970.4339999999997,696.6242,23.45
Auburn,23,3153.9280000000003,734.3339,23.28
"Twin Falls",2,1148.806,266.1649,23.17
Olathe,5,895.79,207.4108,23.15
Clinton,29,5514.251,1274.2421000000006,23.11
"North Las Vegas",16,9801.001999999999,2247.6899,22.93
Passaic,6,1562.0860000000002,356.81860000000006,22.84
"South Bend",6,1238.3300000000002,279.5512,22.57
Georgetown,8,1786.4200000000003,402.75999999999993,22.55
Montgomery,10,3722.73,834.6571,22.42
"West Palm Beach",3,141.328,31.6092,22.37
Watertown,9,4026.458,898.2933999999999,22.31
"The Colony",3,142.16,31.6586,22.27
Lawton,4,1057.4899999999998,235.5085,22.27
Oxnard,8,1548.9560000000001,343.3716,22.17
Kenner,2,89.32000000000001,19.7976,22.16
"Sierra Vista",3,76.07199999999999,16.8281,22.12
Columbia,78,24782.764000000003,5473.151700000001,22.08
Thomasville,3,151.292,33.393899999999995,22.07
Charlottesville,2,102.60999999999999,22.6278,22.05
Rochester,51,7930.504,1734.5342999999998,21.87
Orlando,11,1740.0800000000002,377.7253,21.71
"New Bedford",5,235.97000000000003,50.4861,21.4
Loveland,4,20.964000000000002,4.477799999999999,21.36
Grapevine,2,41.528,8.7749,21.13
"La Porte",9,1035.3400000000001,218.21299999999994,21.08
"Saint Charles",9,1629.306,343.34460000000007,21.07
Chesapeake,17,5967.16,1254.8057999999996,21.03
Madison,10,5346.790000000002,1123.6552000000004,21.02
"Saint Peters",1,697.16,146.4036,21
Stockton,4,793.8,166.6856,21
Dover,18,4666.114,979.1021,20.98
"San Jose",41,5865.308999999999,1213.9986999999996,20.7
Arlington,59,20204.092,4164.894499999999,20.61
"Santa Fe",2,100.92,20.688000000000002,20.5
Boise,4,1094.4699999999998,221.93730000000002,20.28
Harrisonburg,7,4388.71,889.5238999999998,20.27
"Lake Forest",6,1625.5359999999998,327.5313999999999,20.15
Newark,93,28417.27899999999,5715.927200000001,20.11
"Orland Park",1,339.96,67.992,20
Holyoke,1,301.96,60.392,20
Palatine,1,116.312,23.2624,20
Norman,2,1351.3300000000002,269.5287,19.95
"Costa Mesa",11,1497.6699999999998,297.20889999999997,19.84
Westminster,15,3790.558,749.6844,19.78
Waynesboro,10,3058.7699999999995,603.3858,19.73
Saginaw,6,395.85999999999996,77.1801,19.5
"Mission Viejo",5,775.986,151.06449999999998,19.47
"Haltom City",4,269.32800000000003,51.955799999999996,19.29
Murrieta,1,484.65,92.0835,19
Riverside,13,1921.3260000000002,363.4988,18.92
Westland,12,2038.9260000000002,380.646,18.67
Moorhead,2,543.86,101.4106,18.65
Thornton,9,754.3040000000001,139.8822,18.54
Canton,3,818.13,149.2776,18.25
"Las Vegas",13,1834.02,332.4433,18.13
Reno,4,644.062,115.0527,17.86
Lakewood,48,18187.982999999993,3232.6561999999994,17.77
Oceanside,30,4350.737999999999,772.6798999999999,17.76
Danville,7,1202.2540000000001,213.0453,17.72
"Lincoln Park",3,387.602,68.3691,17.64
Marietta,7,2938.62,512.1456,17.43
Torrance,3,3126.1719999999996,542.9412,17.37
"Los Angeles",731,173168.86500000002,29806.91589999997,17.21
Orem,9,2994.0879999999997,514.6335,17.19
Lebanon,3,488.896,83.8057,17.14
Sunnyvale,6,636.2099999999999,107.50730000000001,16.9
Homestead,3,132.552,22.329099999999997,16.85
Helena,3,443.84,74.62219999999999,16.81
Logan,5,280.276,46.9632,16.76
"Mount Pleasant",2,563.08,93.5208,16.61
"Pompano Beach",3,90.44,15.006499999999999,16.59
Pasco,6,2201.112,357.5244,16.24
Bellingham,3,3790.24,610.5908,16.11
Fremont,8,1119.01,179.4696,16.04
Cranston,15,4014.756,632.7225000000002,15.76
Redlands,16,2891.021,454.1556,15.71
Brownsville,7,1292.2268,202.07200000000003,15.64
"San Francisco",494,110917.03599999993,17176.66849999999,15.49
Anaheim,26,7955.890000000001,1220.0626,15.34
"Long Beach",58,13261.740000000002,2030.3986000000002,15.31
Margate,1,15.552,2.3328,15
Conway,1,301.96,45.294,15
Renton,3,1242.6319999999998,185.43239999999997,14.92
Franklin,34,11105.727000000003,1612.6858999999997,14.52
Columbus,214,37535.36899999999,5387.806399999996,14.35
"Port Arthur",6,737.0527999999999,105.77600000000002,14.35
"Apple Valley",9,2053.021,292.589,14.25
Springfield,158,42791.744000000006,6078.0224,14.2
"San Gabriel",3,2061.01,290.8953,14.11
Montebello,1,27.88,3.9032,14
Oakland,26,5964.418000000001,834.1029000000002,13.98
Provo,9,2749.45,384.2957,13.98
"North Miami",2,22.128,3.0798000000000005,13.92
Altoona,1,16.032,2.2044,13.75
Olympia,5,1020.448,139.62689999999998,13.68
Fairfield,43,8876.802000000001,1213.7120999999997,13.67
Deltona,5,893.2399999999999,122.13439999999999,13.67
Middletown,9,1154.6099999999997,157.61589999999998,13.65
Malden,3,228.38,31.1692,13.65
Bakersfield,16,1377.29,187.9247,13.64
"Dearborn Heights",6,1051.57,140.8905,13.4
"San Diego",166,47115.06099999999,6309.300400000003,13.39
Durham,9,879.96,116.86990000000002,13.28
Pocatello,6,1327.302,172.71230000000003,13.01
"Saint Paul",2,192.82999999999998,24.8842,12.9
Taylor,3,353.7,44.8682,12.69
Woodland,3,264.66200000000003,33.3848,12.61
Temecula,4,808.666,101.8869,12.6
Beaumont,5,472.11600000000004,59.11639999999999,12.52
Mishawaka,2,776.24,96.59200000000001,12.44
"Warner Robins",2,434.8,53.6884,12.35
Encinitas,5,591.981,71.05879999999999,12
"Delray Beach",3,242.536,29.0542,11.98
Fresno,25,7861.032499999998,938.9881999999999,11.94
Arvada,4,503.4,59.8556,11.89
Noblesville,4,3091.1800000000003,353.313,11.43
"West Allis",2,250.48000000000002,28.370800000000003,11.33
Decatur,34,6482.749000000001,729.0592000000001,11.25
Kissimmee,1,751.984,84.5982,11.25
Englewood,2,124.056,13.7547,11.09
"Johnson City",11,679.7900000000001,74.96539999999999,11.03
Vancouver,5,686.8359999999999,75.45460000000001,10.99
Buffalo,10,9063.496,992.8791000000001,10.95
Camarillo,5,1467.5175,158.79559999999998,10.82
"Boynton Beach",10,469.5850000000001,50.66149999999999,10.79
"Rio Rancho",2,1114.192,119.5878,10.73
Cary,6,505.208,54.0386,10.7
"Grove City",2,123.588,13.1952,10.68
"Santa Barbara",8,4289.234,457.2858,10.66
Raleigh,22,4507.54,472.59399999999994,10.48
"Bowling Green",10,2077.375,217.06169999999997,10.45
Clovis,2,111.42,11.635200000000001,10.44
"Laguna Niguel",3,256.903,26.645500000000002,10.37
Pomona,7,1482.502,150.29900000000004,10.14
Hollywood,11,1070.474,108.20119999999999,10.11
Melbourne,1,95.616,9.5616,10
Whittier,1,444.768,44.4768,10
"Jefferson City",1,86.62,8.662,10
Chico,10,2042.1860000000001,202.4281,9.91
Elkhart,2,171.43,16.6721,9.73
Vineland,8,647.966,62.2518,9.61
Cincinnati,16,1532.592,145.56810000000002,9.5
Eugene,6,1465.032,134.03719999999998,9.15
"Redondo Beach",8,1959.8029999999999,176.42890000000003,9
"Saint Petersburg",14,1690.7920000000001,151.98229999999998,8.99
Glenview,1,158.376,13.8579,8.75
Goldsboro,1,34.944,3.0576,8.75
"Arlington Heights",1,14.112,1.2348,8.75
Tempe,12,1060.894,92.0392,8.68
Spokane,7,2027.9180000000001,172.22610000000003,8.49
Sparks,2,2475.76,203.53799999999998,8.22
Hesperia,4,1213.1715,98.52689999999998,8.12
Avondale,6,946.808,76.169,8.04
Pearland,3,494.996,39.4131,7.96
Broomfield,5,793.504,62.445,7.87
Salem,40,3444.2450000000003,270.6940000000001,7.86
Chandler,7,1076.747,81.4605,7.57
Hickory,1,36.192,2.7144,7.5
Jupiter,1,2.064,0.1548,7.5
Redding,1,333.576,25.0182,7.5
Longmont,2,648.736,48.1428,7.42
"San Bernardino",9,979.3000000000001,69.98200000000001,7.15
Glendale,21,2682.921,191.57260000000002,7.14
Gresham,5,2133.424,150.86440000000002,7.07
Woodstock,5,1143.9,79.9929,6.99
Bridgeton,2,52.410000000000004,3.4415999999999998,6.57
"Palm Coast",5,274.428,17.655199999999997,6.43
"Lake Elsinore",1,283.92,17.745,6.25
Conroe,1,111.672,6.9795,6.25
Cheyenne,1,1603.136,100.196,6.25
Modesto,3,326.15,19.943000000000005,6.11
"El Cajon",2,865.616,52.6872,6.09
Apopka,7,904.554,54.3634,6.01
Bristol,12,1230.302,72.03150000000001,5.85
Alexandria,14,5483.450000000001,300.94710000000003,5.49
Asheville,7,1475.3760000000002,77.5074,5.25
Tallahassee,16,7201.100999999999,377.2216,5.24
Murfreesboro,11,337.33299999999997,15.689100000000003,4.65
Caldwell,2,364.272,16.671,4.58
"Fort Worth",27,6602.7064,298.7327,4.52
Manhattan,1,273.96,10.9584,4
Gilbert,14,4090.014,157.81540000000004,3.86
Harlingen,5,471.404,18.1275,3.85
Hoover,4,525.85,18.7173,3.56
"North Charleston",2,284.25,9.670200000000001,3.4
Marysville,2,102.18,3.3150000000000004,3.24
Chattanooga,10,988.803,27.191799999999997,2.75
Miramar,7,1192.056,32.28099999999999,2.71
Medford,2,32.538,0.8534999999999995,2.62
"Texas City",3,790.972,20.221799999999995,2.56
Chester,16,1968.4789999999998,48.35780000000001,2.46
"Coral Springs",8,824.992,18.556800000000003,2.25
Huntsville,35,9181.2388,184.51500000000004,2.01
"Port Saint Lucie",3,248.95,4.449,1.79
Hillsboro,4,87.838,1.5455000000000005,1.76
"Morgan Hill",4,545.01,7.845999999999998,1.44
Plantation,11,1436.8359999999998,12.039100000000005,0.84
Parma,10,3879.756,31.061799999999998,0.8
Austin,38,6025.198000000001,32.06059999999995,0.53
Bedford,4,196.592,0.6085999999999983,0.31
Portland,24,4051.8689999999997,9.75729999999994,0.24
Pasadena,41,6404.266000000001,6.225899999999967,0.1
Tucson,30,5827.759999999999,-95.58660000000003,-1.64
Gastonia,4,895.06,-14.743599999999995,-1.65
Richardson,2,1288.4640000000002,-24.4893,-1.9
Denver,43,11690.089000000002,-244.92000000000004,-2.1
Bolingbrook,6,218.308,-4.660999999999998,-2.14
Freeport,10,739.15,-20.087999999999987,-2.72
Hamilton,4,328.224,-9.385000000000002,-2.86
"Carol Stream",5,1305.81,-39.8683,-3.05
Charlotte,52,13693.339000000002,-429.78239999999994,-3.14
"Fort Lauderdale",15,4929.532500000001,-161.3551,-3.27
Lakeland,21,5595.0625,-189.67110000000002,-3.39
"League City",6,875.368,-31.3499,-3.58
"Pembroke Pines",14,1714.3755,-72.4491,-4.23
Mason,3,94.264,-4.235199999999999,-4.49
Wilson,5,358.46,-17.8028,-4.97
"El Paso",19,3546.0639999999994,-179.9007,-5.07
Greensboro,13,2406.7799999999997,-122.95339999999999,-5.11
Jacksonville,121,44595.399999999994,-2308.4399,-5.18
Toledo,31,4299.133000000001,-223.15279999999993,-5.19
Sanford,2,225.54600000000002,-11.827200000000001,-5.24
Laredo,13,1024.34,-54.6139,-5.33
Wheeling,7,1946.9660000000001,-107.39620000000008,-5.52
Scottsdale,12,1466.307,-89.4879,-6.1
Tampa,35,5154.704500000002,-329.8914,-6.4
Concord,31,10542.402000000002,-718.6389000000001,-6.82
Akron,21,2729.9860000000003,-186.6356,-6.84
Peoria,23,1842.832,-127.8663,-6.94
Hialeah,17,2336.9649999999997,-179.89709999999997,-7.7
"Highland Park",7,2035.096,-169.94060000000002,-8.35
"Grand Prairie",13,1012.486,-85.2311,-8.42
"San Angelo",4,650.636,-58.553200000000004,-9
Odessa,4,933.3399999999999,-85.221,-9.13
Amarillo,10,3773.0628,-387.9683,-10.28
"Buffalo Grove",2,831.399,-89.6478,-10.78
Plano,15,3530.3746,-383.05539999999996,-10.85
Marion,19,3227.794,-353.82129999999995,-10.96
Naperville,8,1288.3029999999999,-146.53239999999997,-11.37
Louisville,57,12345.805999999999,-1430.3129,-11.59
Mansfield,2,558.877,-66.7913,-11.95
Troy,28,4501.375999999999,-539.3893000000002,-11.98
Redmond,10,1066.937,-128.6618,-12.06
York,5,817.9780000000001,-102.16920000000002,-12.49
Philadelphia,507,107486.47000000006,-13732.339200000017,-12.78
Miami,55,8622.260499999995,-1114.8006000000005,-12.93
Cleveland,42,6346.1849999999995,-848.0079000000001,-13.36
Chicago,301,47767.33100000003,-6460.284099999998,-13.52
Allen,4,290.20599999999996,-39.8775,-13.74
Nashville,29,6070.863,-837.4908,-13.8
Mesa,28,4037.740000000001,-559.2314,-13.85
Skokie,8,278.08000000000004,-39.441199999999995,-14.18
Hendersonville,5,319.538,-45.3867,-14.2
Dallas,149,19755.092199999992,-2847.901700000001,-14.42
Dublin,14,2401.16,-349.9295,-14.57
Parker,8,1067.942,-164.1893,-15.37
Pharr,4,1540.708,-237.5528,-15.42
Houston,370,64389.43239999995,-10044.302299999996,-15.6
"Des Plaines",6,1493.212,-236.7674,-15.86
Bloomington,15,1567.74,-249.3550000000001,-15.91
Ontario,1,283.92,-46.137,-16.25
Irving,8,605.5,-100.51250000000005,-16.6
Burlington,24,21623.331999999995,-3643.4622000000013,-16.85
Mentor,6,693.1300000000001,-123.2742,-17.79
Mcallen,18,859.842,-153.21700000000004,-17.82
"San Marcos",4,108.44399999999999,-19.3413,-17.84
Tigard,7,1333.734,-238.80410000000003,-17.9
"Daytona Beach",4,272.3315,-52.334,-19.22
"Corpus Christi",8,220.544,-43.7304,-19.83
Carrollton,15,2200.6459999999997,-470.21389999999997,-21.37
"Commerce City",1,146.352,-32.9292,-22.5
Aurora,67,11619.595999999998,-2665.9212,-22.94
Elmhurst,4,891.6279999999999,-212.13209999999998,-23.79
"Round Rock",7,4854.0528,-1183.4313000000002,-24.38
Memphis,27,5918.818,-1472.5348,-24.88
Tamarac,4,1413.51,-351.8961,-24.9
Phoenix,61,10815.137,-2796.520800000001,-25.86
"Colorado Springs",25,3694.0089999999996,-956.6840999999998,-25.9
Greenville,9,2117.83,-548.9884,-25.92
Allentown,7,853.252,-226.4504,-26.54
Frankfort,2,97.632,-26.055999999999997,-26.69
"Fort Collins",7,935.252,-252.6926,-27.02
Knoxville,23,3915.974000000001,-1169.1902999999998,-29.86
Normal,1,366.744,-110.0232,-30
Reading,5,873.712,-268.7642,-30.76
Lorain,8,1966.2150000000001,-641.4797,-32.63
Frisco,2,57.504,-18.8016,-32.7
"San Antonio",59,21843.528000000002,-7299.0502,-33.42
Bryan,6,616.656,-213.7116,-34.66
"Park Ridge",3,685,-238.45,-34.81
"Boca Raton",3,63.007999999999996,-22.645599999999998,-35.94
Rockford,11,3166.228,-1149.5077999999999,-36.31
"Tinley Park",1,22.288,-8.9152,-40
"College Station",3,291.04200000000003,-117.6224,-40.41
"Cuyahoga Falls",3,29.093999999999998,-12.575199999999999,-43.22
Clarksville,7,2217.7299999999996,-1055.3532000000002,-47.59
Garland,4,67.704,-32.373,-47.82
Pueblo,8,1686.938,-900.9718999999999,-53.41
Medina,9,2477.722,-1343.0446,-54.2
Yuma,4,840.865,-465.9909,-55.42
Bethlehem,5,1689.634,-1003.0958,-59.37
Pensacola,1,2.214,-1.476,-66.67
"Ormond Beach",1,2.808,-1.9656,-70
Lancaster,43,9819.957000000002,-7256.510700000001,-73.9
Elyria,1,1.824,-1.3984,-76.67
Waco,6,606.1072,-520.1034,-85.81
Champaign,1,151.96,-182.352,-120
Tyler,5,347.206,-443.7086,-127.79
Littleton,1,72.294,-98.8018,-136.67
"Missouri City",1,6.37,-9.555,-150
"Deer Park",1,6.924,-10.386,-150
Romeoville,1,8.952,-14.7708,-165
Oswego,3,321.978,-536.1275999999999,-166.51
Mesquite,5,52.147999999999996,-87.61999999999999,-168.02
Abilene,1,1.392,-3.7584,-270
